msa_name,2023_population
"Wheeling, WV",135517.0
"Wichita, KS",652939.0
"Wichita Falls, TX",149947.0
"Wildwood, FL",151565.0
"Williamsport, PA",112724.0
"Wilmington, NC",467337.0
"Winchester, VA",147260.0
"Winston, NC",695630.0
"Worcester, MA",866866.0
"Yakima, WA",256643.0
"York, PA",464640.0
"Youngstown, OH",425969.0
"Yuba City, CA",183670.0
"Yuma, AZ",213221.0
"Aguadilla, PR",250435.0
"Arecibo, PR",179470.0
"Guayama, PR",65190.0
"Mayagüez, PR",207877.0
"Ponce, PR",266237.0
"San Juan, PR",2035733.0
